lok,HAVOMR,Lokasjon,LOKREF,geometry
0003,00,03,00-03,"POLYGON ((11 67, 11 67.08333333333333, 11 67.16666666666667, 11 67.25, 11 67.33333333333333, 11 67.41666666666667, 11 67.5, 11.09090909090909 67.5, 11.18181818181818 67.5, 11.27272727272727 67.5, 11.36363636363636 67.5, 11.45454545454546 67.5, 11.54545454545454 67.5, 11.63636363636364 67.5, 11.72727272727273 67.5, 11.81818181818182 67.5, 11.90909090909091 67.5, 12 67.5, 12 67.41666666666667, 12 67.33333333333333, 12 67.25, 12 67.16666666666667, 12 67.08333333333333, 12 67, 11.90909090909091 67, 11.81818181818182 67, 11.72727272727273 67, 11.63636363636364 67, 11.54545454545454 67, 11.45454545454546 67, 11.36363636363636 67, 11.27272727272727 67, 11.18181818181818 67, 11.09090909090909 67, 11 67))"
0004,00,04,00-04,"POLYGON ((12 67.5, 12.09090909090909 67.5, 12.18181818181818 67.5, 12.27272727272727 67.5, 12.36363636363636 67.5, 12.45454545454546 67.5, 12.54545454545454 67.5, 12.63636363636364 67.5, 12.72727272727273 67.5, 12.81818181818182 67.5, 12.90909090909091 67.5, 13 67.5, 12.91666666666667 67.45833333333333, 12.83333333333333 67.41666666666667, 12.75 67.375, 12.66666666666667 67.33333333333333, 12.58333333333333 67.29166666666667, 12.5 67.25, 12.41666666666667 67.20833333333333, 12.33333333333333 67.16666666666667, 12.25 67.125, 12.16666666666667 67.08333333333333, 12.08333333333333 67.04166666666667, 12 67, 12 67.08333333333333, 12 67.16666666666667, 12 67.25, 12 67.33333333333333, 12 67.41666666666667, 12 67.5))"
0052,00,52,00-52,"POLYGON ((12 67, 12.08333333333333 67.04166666666667, 12.16666666666667 67.08333333333333, 12.25 67.125, 12.33333333333333 67.16666666666667, 12.41666666666667 67.20833333333333, 12.5 67.25, 12.58333333333333 67.29166666666667, 12.66666666666667 67.33333333333333, 12.75 67.375, 12.83333333333333 67.41666666666667, 12.91666666666667 67.45833333333333, 13 67.5, 13 67.41666666666667, 13 67.33333333333333, 13 67.25, 13 67.16666666666667, 13 67.08333333333333, 13 67, 12.90909090909091 67, 12.81818181818182 67, 12.72727272727273 67, 12.63636363636364 67, 12.54545454545454 67, 12.45454545454546 67, 12.36363636363636 67, 12.27272727272727 67, 12.18181818181818 67, 12.09090909090909 67, 12 67))"
0005,00,05,00-05,"POLYGON ((13 67, 13 67.08333333333333, 13 67.16666666666667, 13 67.25, 13 67.33333333333333, 13 67.41666666666667, 13 67.5, 13.09090909090909 67.5, 13.18181818181818 67.5, 13.27272727272727 67.5, 13.36363636363636 67.5, 13.45454545454546 67.5, 13.54545454545454 67.5, 13.63636363636364 67.5, 13.72727272727273 67.5, 13.81818181818182 67.5, 13.90909090909091 67.5, 14 67.5, 14 67.41666666666667, 14 67.33333333333333, 14 67.25, 14 67.16666666666666, 14 67.08333333333333, 14.08333333333333 67.05, 14.08333333333333 66.97777777777777, 14.08333333333333 66.90555555555555, 14.08333333333333 66.83333333333333, 14.01111111111111 66.83333333333333, 13.93888888888889 66.83333333333333, 13.86666666666667 66.83333333333333, 13.86666666666667 66.91666666666666, 13.86666666666667 67, 13.77037037037037 67, 13.67407407407407 67, 13.57777777777778 67, 13.48148148148148 67, 13.38518518518519 67, 13.28888888888889 67, 13.19259259259259 67, 13.0962962962963 67, 13 67))"
0053,00,53,00-53,"POLYGON ((14 67.5, 14.09583333333333 67.5, 14.19166666666667 67.5, 14.2875 67.5, 14.38333333333333 67.5, 14.47916666666667 67.5, 14.575 67.5, 14.67083333333333 67.5, 14.76666666666667 67.5, 14.84166666666667 67.49166666666667, 14.91666666666667 67.48333333333333, 14.99166666666667 67.47499999999999, 15.06666666666667 67.46666666666667, 15.06666666666667 67.41666666666666, 15.06666666666667 67.36666666666666, 14.97777777777778 67.34444444444443, 14.88888888888889 67.32222222222222, 14.8 67.3, 14.75833333333333 67.25833333333333, 14.71666666666667 67.21666666666667, 14.75 67.2, 14.75 67.10833333333333, 14.75 67.01666666666667, 14.75 66.925, 14.75 66.83333333333333, 14.65476190476191 66.83333333333333, 14.55952380952381 66.83333333333333, 14.46428571428572 66.83333333333333, 14.36904761904762 66.83333333333333, 14.27380952380952 66.83333333333333, 14.17857142857143 66.83333333333333, 14.08333333333333 66.83333333333333, 14.08333333333333 66.90555555555555, 14.08333333333333 66.97777777777777, 14.08333333333333 67.05, 14 67.08333333333333, 14 67.16666666666666, 14 67.25, 14 67.33333333333333, 14 67.41666666666667, 14 67.5))"
0054,00,54,00-54,"POLYGON ((14.8 67.3, 14.88888888888889 67.32222222222222, 14.97777777777778 67.34444444444443, 15.06666666666667 67.36666666666666, 15.15333333333333 67.34333333333333, 15.24 67.31999999999999, 15.32666666666667 67.29666666666667, 15.41333333333333 67.27333333333333, 15.5 67.25, 15.59090909090909 67.25, 15.68181818181818 67.25, 15.77272727272727 67.25, 15.86363636363636 67.25, 15.95454545454546 67.25, 16.04545454545455 67.25, 16.13636363636364 67.25, 16.22727272727273 67.25, 16.31818181818182 67.25, 16.40909090909091 67.25, 16.5 67.25, 16.5 67.16666666666667, 16.5 67.08333333333333, 16.5 67, 16.5 66.91666666666666, 16.5 66.83333333333333, 16.40277777777778 66.83333333333333, 16.30555555555556 66.83333333333333, 16.20833333333333 66.83333333333333, 16.11111111111111 66.83333333333333, 16.01388888888889 66.83333333333333, 15.91666666666667 66.83333333333333, 15.81944444444444 66.83333333333333, 15.72222222222222 66.83333333333333, 15.625 66.83333333333333, 15.52777777777778 66.83333333333333, 15.43055555555556 66.83333333333333, 15.33333333333333 66.83333333333333, 15.23611111111111 66.83333333333333, 15.13888888888889 66.83333333333333, 15.04166666666667 66.83333333333333, 14.94444444444444 66.83333333333333, 14.84722222222222 66.83333333333333, 14.75 66.83333333333333, 14.75 66.925, 14.75 67.01666666666667, 14.75 67.10833333333333, 14.75 67.2, 14.71666666666667 67.21666666666667, 14.75833333333333 67.25833333333333, 14.8 67.3))"
0049,00,49,00-49,"POLYGON ((12.08333333333333 67.5, 12.16666666666667 67.52380952380952, 12.25 67.54761904761905, 12.33333333333333 67.57142857142857, 12.41666666666667 67.5952380952381, 12.5 67.61904761904762, 12.58333333333333 67.64285714285715, 12.66666666666667 67.66666666666667, 12.73333333333333 67.73333333333333, 12.8 67.8, 12.86666666666667 67.86666666666667, 12.93333333333333 67.93333333333334, 13 68, 13 67.91666666666667, 13 67.83333333333333, 13 67.75, 13 67.66666666666667, 13 67.58333333333333, 13 67.5, 12.90833333333333 67.5, 12.81666666666667 67.5, 12.725 67.5, 12.63333333333333 67.5, 12.54166666666667 67.5, 12.45 67.5, 12.35833333333333 67.5, 12.26666666666667 67.5, 12.175 67.5, 12.08333333333333 67.5))"
0010,00,10,00-10,"POLYGON ((13 67.5, 13 67.58333333333333, 13 67.66666666666667, 13 67.75, 13 67.83333333333333, 13 67.91666666666667, 13 68, 13.07222222222222 68, 13.14444444444444 68, 13.21666666666667 68, 13.21666666666667 68.05, 13.275 68.05, 13.33333333333333 68.05, 13.33333333333333 68, 13.42857142857143 68, 13.52380952380952 68, 13.61904761904762 68, 13.71428571428572 68, 13.80952380952381 68, 13.90476190476191 68, 14 68, 14 67.91666666666666, 14 67.83333333333333, 13.90909090909091 67.8030303030303, 13.81818181818182 67.77272727272727, 13.72727272727273 67.74242424242424, 13.63636363636364 67.7121212121212, 13.54545454545454 67.68181818181817, 13.45454545454546 67.65151515151516, 13.36363636363636 67.62121212121212, 13.27272727272727 67.59090909090909, 13.18181818181818 67.56060606060606, 13.09090909090909 67.53030303030303, 13 67.5))"
0050,00,50,00-50,"POLYGON ((13 67.5, 13.09090909090909 67.53030303030303, 13.18181818181818 67.56060606060606, 13.27272727272727 67.59090909090909, 13.36363636363636 67.62121212121212, 13.45454545454546 67.65151515151516, 13.54545454545454 67.68181818181817, 13.63636363636364 67.7121212121212, 13.72727272727273 67.74242424242424, 13.81818181818182 67.77272727272727, 13.90909090909091 67.8030303030303, 14 67.83333333333333, 14 67.75, 14 67.66666666666666, 14 67.58333333333333, 14 67.5, 13.90909090909091 67.5, 13.81818181818182 67.5, 13.72727272727273 67.5, 13.63636363636364 67.5, 13.54545454545454 67.5, 13.45454545454546 67.5, 13.36363636363636 67.5, 13.27272727272727 67.5, 13.18181818181818 67.5, 13.09090909090909 67.5, 13 67.5))"
0047,00,47,00-47,"POLYGON ((14 67.83333333333333, 14 67.91666666666666, 14 68, 14.09333333333333 68, 14.18666666666667 68, 14.28 68, 14.37333333333333 68, 14.46666666666667 68, 14.37333333333333 67.96666666666667, 14.28 67.93333333333334, 14.18666666666667 67.89999999999999, 14.09333333333333 67.86666666666666, 14 67.83333333333333))"
